;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Reichhardt;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Schaefer;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;Mathematik 1;;Mathematik 1 Labor;Mathematik 1 Labor;
;;E213;;LI141;LI137;
;;Schaefer;;Schaefer;Schaefer;
09:50-11:20;;;IT-Sicherheit;Mathematik 1 Labor;Mathematik 1 Labor;
;;;E305;LI008;LI141;
;;;Schaefer;Schaefer;Schaefer;
11:30-13:00;;Angewandte Kryptografie;;Mathematik 1;Mathematik 1;
;;E302;;E305;E203;
;;Schaefer;;Schaefer;Schaefer;
14:00-15:30;;;;Mathematik 1;;
;;;;E303;;
;;;;Schaefer;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Schmauch;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
