IB1a;Monday;Tuesday;Wednesday;Thursday;Friday;;
 Gremminger;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;;;Verteilte Informationssysteme;Labor Verteilte Systeme;;
;;;;E301;E304;;
;;;;Gremminger;Gremminger;;
09:50-11:20;Verteilte Informationssysteme Labor;;Verteilte Informationssysteme;;;;
;LI136;;E301;;;;
;Gremminger;;Gremminger;;;;
11:30-13:00;;;;Verteilte Informationssysteme Labor;Verteilte Informationssysteme;;
;;;;LI008;E304;;
;;;;Gremminger;Gremminger;;
14:00-15:30;;;;;;;
;;;;;;;
;;;;;;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
 Haneke;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;BWL;;;;;;
;E301;;;;;;
;Haneke;;;;;;
09:50-11:20;BWL;Projektmanagement;;;Geschäftsprozesse;;
;E213;E305;;;E304;;
;Haneke;Haneke;;;Haneke;;
11:30-13:00;;BWL;;BWL;;;
;;E305;;E302;;;
;;Haneke;;Haneke;;;
14:00-15:30;;IT Projektmanagement;;;;;
;;E302;;;;;
;;Haneke;;;;;
15:40-17:10;;;;;Business Intelligence;;
;;;;;E201;;
;;;;;Haneke;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
 Heberle;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;;;;;;
;;;;;;;
;;;;;;;
09:50-11:20;;;;;;;
;;;;;;;
;;;;;;;
11:30-13:00;;;;;;;
;;;;;;;
;;;;;;;
14:00-15:30;;;;;;;
;;;;;;;
;;;;;;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
 Henning;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;Computergrafik;;Computergrafik;;Visualization and Semantics Lab;;
;E303;;E305;;LI141;;
;Henning;;Henning;;Henning;;
09:50-11:20;Gameprogramming;;;;Multimedia;;
;E305;;;;E302;;
;Henning;;;;Henning;;
11:30-13:00;;Visualization and Semantics;;;;;
;;E213;;;;;
;;Henning;;;;;
14:00-15:30;;;;;;;
;;;;;;;
;;;;;;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
 Hoffmann;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;Qualitätssicherung;;Technische Informatik 1;Embedded Labor;Technische Informatik 1;;
;E213;;E304;LI136;E302;;
;Hoffmann;;Hoffmann, Sutterer;Hoffmann;Hoffmann, Sutterer;;
09:50-11:20;;;Technische Informatik 1;Embedded Labor;Datenrepräsentation und -übertragung;;
;;;E203;LI136;E203;;
;;;Hoffmann, Sutterer;Hoffmann;Hoffmann;;
11:30-13:00;;;;;;;
;;;;;;;
;;;;;;;
14:00-15:30;Technische Informatik 1 Übung;;;Technische Informatik 1;Embedded Software;;
;E203;;;E302;E304;;
;Hoffmann, Sutterer;;;Hoffmann, Sutterer;Hoffmann;;
15:40-17:10;Technische Informatik 1 Übung;;;;;;
;E201;;;;;;
;Hoffmann, Sutterer;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
 Hofmann;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;;;;;;
;;;;;;;
;;;;;;;
09:50-11:20;;;;;;;
;;;;;;;
;;;;;;;
11:30-13:00;;;;;;;
;;;;;;;
;;;;;;;
14:00-15:30;;;;;;;
;;;;;;;
;;;;;;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
 Hüttel;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;Führungskräftetraining;;;;;
;;E303;;;;;
;;Hüttel;;;;;
09:50-11:20;;;;;;;
;;;;;;;
;;;;;;;
11:30-13:00;;;;;;;
;;;;;;;
;;;;;;;
14:00-15:30;;;;;;;
;;;;;;;
;;;;;;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
 Körner;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;Algorithmenentwurf;Praxisvorbereitung;;Sprachen und Metasprachen;;;
;E304;E302;;E302;;;
;Körner;Körner, Thielemann;;Körner;;;
09:50-11:20;Theoretische Informatik 1;Praxisvorbereitung;;Praxisvorbereitung;;;
;E302;E302;;E201;;;
;Körner;Körner, Thielemann;;Körner, Thielemann;;;
11:30-13:00;Theoretische Informatik 1;Praxisvorbereitung;;Praxisvorbereitung;Theoretische Informatik 1;;
;E213;E302;;E201;E305;;
;Körner;Körner, Thielemann;;Körner, Thielemann;Körner;;
14:00-15:30;;Theoretische Informatik 1;;Praxisvorbereitung;;;
;;E305;;E201;;;
;;Körner;;Körner, Thielemann;;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
 Laubenheimer;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;Data Mining;;;;;
;;E203;;;;;
;;Laubenheimer;;;;;
09:50-11:20;;Mathematik 2 Labor;;;Mathematik 2;;
;;E301;;;E201;;
;;Laubenheimer;;;Laubenheimer;;
11:30-13:00;;;;;;;
;;;;;;;
;;;;;;;
14:00-15:30;Labor Bildverarbeitung;;;Computer Vision;;;
;E303;;;E203;;;
;Laubenheimer;;;Laubenheimer;;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
 Link;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;;Labor Autonome Systeme;;;;
;;;LI136;;;;
;;;Link;;;;
09:50-11:20;;;;Intelligente Systeme;;;
;;;;E302;;;
;;;;Link;;;
11:30-13:00;Digital-Labor;;;;;;
;E301;;;;;;
;Ditzinger, Link;;;;;;
14:00-15:30;Digital-Labor;;;;;;
;E301;;;;;;
;Ditzinger, Link;;;;;;
15:40-17:10;Digital-Labor;;;;;;
;E301;;;;;;
;Ditzinger, Link;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
 Martin;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;;;;;;
;;;;;;;
;;;;;;;
09:50-11:20;;;;;;;
;;;;;;;
;;;;;;;
11:30-13:00;;;;;;;
;;;;;;;
;;;;;;;
14:00-15:30;;;;;;;
;;;;;;;
;;;;;;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
 Meisel;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;;;;;;
;;;;;;;
;;;;;;;
09:50-11:20;;;;;;;
;;;;;;;
;;;;;;;
11:30-13:00;;;;;;;
;;;;;;;
;;;;;;;
14:00-15:30;;;;;;;
;;;;;;;
;;;;;;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
 Morgenstern;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;;Praxisnachbereitung;;;;
;;;E213;;;;
;;;Morgenstern;;;;
09:50-11:20;;;;;;;
;;;;;;;
;;;;;;;
11:30-13:00;;;;;;;
;;;;;;;
;;;;;;;
14:00-15:30;;;;;;;
;;;;;;;
;;;;;;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
 Müller;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;;;;;;
;;;;;;;
;;;;;;;
09:50-11:20;;;;;;;
;;;;;;;
;;;;;;;
11:30-13:00;;;;;;;
;;;;;;;
;;;;;;;
14:00-15:30;;;;;;;
;;;;;;;
;;;;;;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
 Nees;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;;;;;;
;;;;;;;
;;;;;;;
09:50-11:20;;;;;;;
;;;;;;;
;;;;;;;
11:30-13:00;;;;;;;
;;;;;;;
;;;;;;;
14:00-15:30;;;;;;;
;;;;;;;
;;;;;;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
 Nestler;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;;;Modellierung und Simulation;;;
;;;;E203;;;
;;;;Nestler;;;
09:50-11:20;High Performance Computing;;;High Performance Computing;;;
;E304;;;E305;;;
;Nestler;;;Nestler;;;
11:30-13:00;High Performance Computing;;;High Performance Computing;;;
;E304;;;E305;;;
;Nestler;;;Nestler;;;
14:00-15:30;;;;;;;
;;;;;;;
;;;;;;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
 Neumann;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;;;;;;
;;;;;;;
;;;;;;;
09:50-11:20;;;;;;;
;;;;;;;
;;;;;;;
11:30-13:00;;;;;;;
;;;;;;;
;;;;;;;
14:00-15:30;;;;;;;
;;;;;;;
;;;;;;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
